title,description,videoLink,videoLink2,videoLink3,notesLink1,notesLink2,notesLink3,topicId,subtopicId,specpointId,higherTier,physicsOnly
Radioactive decay & nuclear radiation,"Some atomic nuclei are unstable. The nucleus gives out radiation as it changes to become more stable. This is a random process called radioactive decay. \nActivity is the rate at which a source of unstable nuclei decays. Activity is measured in becquerel (Bq) Count-rate is the number of decays recorded each second by a detector (eg Geiger-Muller tube).\n

The nuclear radiation emitted may be: \n

• an alpha particle (α) – this consists of two neutrons and two protons, it is the same as a helium nucleus 
• a beta particle (β) – a high speed electron ejected from the nucleus as a neutron turns into a proton 
• a gamma ray (γ) – electromagnetic radiation from the nucleus 
• a neutron (n).

\nRequired knowledge of the properties of alpha particles, beta particles and gamma rays is limited to their penetration through materials, their range in air and ionising power.

\nStudents should be able to apply their knowledge to the uses of radiation and evaluate the best sources of radiation to use in a given situation.",https://www.youtube.com/watch?v=F_Y1-JieCrg,https://www.youtube.com/watch?v=nW0S1C6wVrg,https://www.youtube.com/watch?v=eA1_9JUGth8,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-2-types-of-radiation/,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-1-radioactive-decay/,4,2,1,FALSE,FALSE
Nuclear equations,"Nuclear equations are used to represent radioactive decay. In a nuclear equation an alpha particle may be represented by the symbol: and a beta particle by the symbol: The emission of the different types of nuclear radiation may cause a change in the mass and /or the charge of the nucleus.\n

 So alpha decay causes both the mass and charge of the nucleus to decrease. So beta decay does not cause the mass of the nucleus to change but does cause the charge of the nucleus to increase.\nStudents should be able to use the names and symbols of common nuclei and particles to write balanced equations that show single alpha (α) and beta (β) decay. 

\nThis is limited to balancing the atomic numbers and mass numbers. The identification of daughter elements from such decays is not required. The emission of a gamma ray does not cause the mass or the charge of the nucleus to change.",https://www.youtube.com/watch?v=xpSBhUpBXic,https://www.youtube.com/watch?v=CaYoDxWxww8,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-4-alpha-decay/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-5-beta-decay/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-6-gamma-decay/,4,2,2,FALSE,FALSE
Half-lives & the random nature of radioactive decay,"Radioactive decay is random. The half-life of a radioactive isotope is the time it takes for the number of nuclei of the isotope in a sample to halve, or the time it takes for the count rate (or activity) from a sample containing the isotope to fall to half its initial level.\n

\nStudents should be able to explain the concept of half-life and how it is related to the random nature of radioactive decay.

\nStudents should be able to determine the half-life of a radioactive isotope from given information.

",https://www.youtube.com/watch?v=wj9BzGFao8k,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-7-random-nature-of-radioactive-decay/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-8-half-life/,,4,2,3,FALSE,FALSE
Half-lives & the random nature of radioactive decay Part 2,"(HT only) Students should be able to calculate the net decline, expressed as a ratio, in a radioactive emission after a given number of half-lives.",https://www.youtube.com/watch?v=FMZlKSseaNc,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-9-calculating-radioactive-decay/,,,4,2,3H,TRUE,FALSE
Radioactive contamination,"Radioactive contamination is the unwanted presence of materials containing radioactive atoms on other materials. \nThe hazard from contamination is due to the decay of the contaminating atoms. The type of radiation emitted affects the level of hazard. Irradiation is the process of exposing an object to nuclear radiation. The irradiated object does not become radioactive.\n

Students should be able to compare the hazards associated with contamination and irradiation.

\nSuitable precautions must be taken to protect against any hazard that the radioactive source used in the process of irradiation may present.

\nStudents should understand that it is important for the findings of studies into the effects of radiation on humans to be published and shared with other scientists so that the findings can be checked by peer review.

.",https://www.youtube.com/watch?v=teGu0VAPlOo&t=9s,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-10-contamination--irradiation/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-11-hazards-of-contamination--irradiation/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-2-atoms--nuclear-radiation/4-2-12-studies-into-the-effects-of-radiation/,4,2,4,FALSE,FALSE
Radioactive emissions & background radiation: hazards & uses,"Background radiation is around us all of the time. It comes from: • natural sources such as rocks and cosmic rays from space • man-made sources such as the fallout from nuclear weapons testing and nuclear accidents.\nThe level of background radiation and radiation dose may be affected by occupation and/or location.

\nBackground radiation is around us all of the time. It comes from:\n

• natural sources such as rocks and cosmic rays from space
• man-made sources such as the fallout from nuclear weapons testing and nuclear accidents.
The level of background radiation and radiation dose may be affected by occupation and/or location.",https://www.youtube.com/watch?v=Z7394DMkfQs,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-3-hazards--uses-of-radioactive-emissions--of-background-radiation/4-3-1-background-radiation/,,,4,3,1,FALSE,TRUE
Different half-lives of radioactive isotopes,Radioactive isotopes have a very wide range of half-life values. Students should be able to explain why the hazards associated with radioactive material differ according to the half-life involved.,https://www.youtube.com/watch?v=pi6G__37Apg,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-3-hazards--uses-of-radioactive-emissions--of-background-radiation/4-3-2-half-life--risk/,,,4,3,2,FALSE,TRUE
Uses of nuclear radiation,"Nuclear radiations are used in medicine for the:\n

• exploration of internal organs • control or destruction of unwanted tissue. Students should be able to:

• describe and evaluate the uses of nuclear radiations for exploration of internal organs, and for control or destruction of
unwanted tissue.

• evaluate the perceived risks of using nuclear radiations in relation to given data and consequences.",https://www.youtube.com/watch?v=YejvYYRjSUk,https://www.youtube.com/watch?v=gDrR_dVmqZk,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-3-hazards--uses-of-radioactive-emissions--of-background-radiation/4-3-3-medical-uses-of-radiation/,,,4,3,3,FALSE,TRUE
Nuclear fission,"Nuclear fission is the splitting of a large and unstable nucleus (eg uranium or plutonium). Spontaneous fission is rare. Usually, for fission to occur the unstable nucleus must first absorb a neutron. The nucleus undergoing fission splits into two smaller nuclei, roughly equal in size, and emits two or three neutrons plus gamma rays.\n

 Energy is released by the fission reaction. All of the fission products have kinetic energy. The neutrons may go on to start a chain reaction. The chain reaction is controlled in a nuclear reactor to control the energy released.\n

The explosion caused by a nuclear weapon is caused by an uncontrolled chain reaction. Students should be able to draw/interpret diagrams representing nuclear fission and how a chain reaction may occur.",https://www.youtube.com/watch?v=ZKHpix5dgAU,https://www.youtube.com/watch?v=onkW8BF5I3Q,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-4-nuclear-fission--fusion/4-4-1-nuclear-fission/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-4-nuclear-fission--fusion/4-4-2-chain-reactions/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-4-nuclear-fission--fusion/4-4-3-nuclear-fission-diagrams/,4,4,1,FALSE,TRUE
Nuclear fusion,Nuclear fusion is the joining of two light nuclei to form a heavier nucleus. In this process some of the mass may be converted into the energy of radiation.,https://www.youtube.com/watch?v=g_BUbEIyaz8,https://www.youtube.com/watch?v=onkW8BF5I3Q,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-4-nuclear-fission--fusion/4-4-3-nuclear-fission-diagrams/,,,4,4,2,FALSE,TRUE
Scalar and vector quantities,"Scalar quantities have magnitude only. Vector quantities have magnitude and an associated direction.\n

A vector quantity may be represented by an arrow. The length of the arrow represents the magnitude, and the direction of the arrow the direction of the vector quantity.",https://www.youtube.com/watch?v=P1lSWWUkMdQ,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-1-forces--their-interactions/5-1-1-scalars--vectors/,,,5,1,1,FALSE,FALSE
Contact and non-contact forces,"A force is a push or pull that acts on an object due to the interaction with another object.\n

All forces between objects are either:\n
• contact forces – the objects are physically touching 
• non-contact forces – the objects are physically separated. 

\nExamples of contact forces include friction, air resistance, tension and normal contact force. Examples of non-contact forces are gravitational force, electrostatic force and magnetic force. Force is a vector quantity.\n

Students should be able to describe the interaction between pairs of objects which produce a force on each object. The forces to be represented as vectors.",https://www.youtube.com/watch?v=xxK8N23nx9M,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-1-forces--their-interactions/5-1-2-contact--non-contact-forces/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-1-forces--their-interactions/5-1-3-forces-as-vectors/,,5,1,2,FALSE,FALSE
Gravity ,"Weight is the force acting on an object due to gravity. The force of gravity close to the Earth is due to the gravitational field around the Earth. The weight of an object depends on the gravitational field strength at the point where the object is.\n

The weight of an object can be calculated using the equation: weight  = mass  × gravitational field strength
 W  = mg\n

weight, W, in newtons, N
mass, m, in kilograms, kg
gravitational field strength, g, in newtons per kilogram, N/kg (In any calculation the value of the gravitational field strength (g) will be given.)\n

The weight of an object may be considered to act at a single point referred to as the object’s ‘centre of mass’.\n

The weight of an object and the mass of an object are directly proportional. Weight is measured using a calibrated spring-balance (a newtonmeter).

",https://www.youtube.com/watch?v=W2aBVbcHr_k,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-1-forces--their-interactions/5-1-4-weight-mass--gravity/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-1-forces--their-interactions/5-1-5-calculating-weight/,,5,1,3,FALSE,FALSE
Resultant forces,A number of forces acting on an object may be replaced by a single force that has the same effect as all the original forces acting together. This single force is called the resultant force. Students should be able to calculate the resultant of two forces that act in a straight line.,https://www.youtube.com/watch?v=PL8ATKipoB4,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-1-forces--their-interactions/5-1-6-resultant-forces/,,,5,1,4,,
Resultant forces part 2,"(HT only) Students should be able to:\n

• describe examples of the forces acting on an isolated object or system 
• use free body diagrams to describe qualitatively examples where several forces lead to a resultant force on an object, including balanced forces when the resultant force is zero. 

 \nA single force can be resolved into two components acting at right angles to each other. The two component forces together have the same effect as the single force.\n

 Students should be able to use vector diagrams to illustrate resolution of forces, equilibrium situations and determine the resultant of two forces, to include both magnitude and direction (scale drawings only).",https://www.youtube.com/watch?v=PG8wV022Eu0,https://www.youtube.com/watch?v=YGGxf6cp3Lo,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-1-forces--their-interactions/5-1-7-free-body-diagrams/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-1-forces--their-interactions/5-1-8-balanced--unbalanced-forces/,,5,1,4H,,
Work done & energy transfer,"When a force causes an object to move through a distance work is done on the object. So a force does work on an object when the force causes a displacement of the object.\n

The work done by a force on an object can be calculated using the equation: work done = force × distance moved along the line of action of the force.\n

\(W = Fs\)

work done, W, in joules, J
force, F, in newtons, N
distance, s, in metres\n

One joule of work is done when a force of one newton causes a displacement of one metre. 1 joule = 1 newton-metre. Students should be able to describe the energy transfer involved
when work is done.

\nStudents should be able to convert between newton-metres and joules. Work done against the frictional forces acting on an object causes a rise in the temperature of the object.",https://www.youtube.com/watch?v=PY80j_iNT9Y,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-2-work-done--energy-transfer/5-2-1-work-done/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-2-work-done--energy-transfer/5-2-2-work-done--energy-transfer/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-2-work-done--energy-transfer/5-2-3-work-done--friction/,5,2,1,FALSE,FALSE
Forces & elasticity ,"Students should be able to:\n
• give examples of the forces involved in stretching, bending or compressing an object 
• explain why, to change the shape of an object (by stretching, bending or compressing), more than one force has to be applied – this is limited to stationary objects only 
• describe the difference between elastic deformation and inelastic deformation caused by stretching forces. 

The extension of an elastic object, such as a spring, is directly proportional to the force applied, provided that the limit of proportionality is not exceeded.\n

Force = spring constant * extension
\(F = ke\)\n

force, F, in newtons, N
spring constant, k, in newtons per metre, N/m
extension, e, in metres, m\n

This relationship also applies to the compression of an elastic object, where ‘e’ would be the compression of the object. A force that stretches (or compresses) a spring does work and
elastic potential energy is stored in the spring. Provided the spring is not inelastically deformed, the work done on the spring and the elastic potential energy stored are equal.\n

Students should be able to:\n

• describe the difference between a linear and non-linear relationship between force and extension.
• calculate a spring constant in linear cases.
• interpret data from an investigation of the relationship between force and extension
• calculate work done in stretching (or compressing) a spring (up to the limit of proportionality) using the equation: elastic potential energy = 0.5 × spring constant × (extension)^2\n

\(E_e = 1/2ke^2\)\n

Students should be able to calculate relevant values of stored energy and energy transfers.",https://www.youtube.com/watch?v=ACDbJ8rsQDo,https://www.youtube.com/watch?v=jQAt3e6Bz7U,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-3-forces--elasticity/5-3-1-changing-shape/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-3-forces--elasticity/5-3-2-hookes-law/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-3-forces--elasticity/5-3-3-forceextension-graphs/,5,3,1,FALSE,FALSE
"Moments, Levers & Gears ","A force or a system of forces may cause an object to rotate. Students should be able to describe examples in which forces cause rotation. The turning effect of a force is called the moment of the force. The size of the moment is defined by the equation:\n

moment of a force = force * distance\n

 \(M = Fd\)\n

moment of a force, M, in newton-metres, Nm
force, F, in newtons, N
distance, d, is the perpendicular distance from the pivot to the line of action of the force, in metres, m.\n

If an object is balanced, the total clockwise moment about a pivot equals the total anticlockwise moment about that pivot. \n

Students should be able to calculate the size of a force, or its distance from a pivot, acting on an object that is balanced. A simple lever and a simple gear system can both be used to transmit the rotational effects of forces.\n

Students should be able to explain how levers and gears transmit the rotational effects of forces.",https://www.youtube.com/watch?v=0RXm47J196Q,https://www.youtube.com/watch?v=kk6T0m9wmnU,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-4-moments-levers--gears/5-4-1-moments/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-4-moments-levers--gears/5-4-2-the-principle-of-moments/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-4-moments-levers--gears/5-4-3-levers--gears/,5,4,1,FALSE,TRUE
Pressure in a fluid ,"A fluid can be either a liquid or a gas. The pressure in fluids causes a force normal (at right angles) to any surface. The pressure at the surface of a fluid can be calculated using the equation: Pressure = force normal to that surface/ area of that surface.\n

\(p = F/A\)\n

pressure, p, in pascals, Pa
force, F, in newtons, N
area, A, in metres squared, m2",https://www.youtube.com/watch?v=P08-lYPy1hI,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-5-pressure--pressure-differences-in-fluids/5-5-1-pressure/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-5-pressure--pressure-differences-in-fluids/5-5-3-pressure-in-a-liquid/,,5,5,1,FALSE,TRUE
Pressure in a fluid part 2,"The pressure due to a column of liquid can be calculated using the equation:\n

pressure = height of the column × density of the liquid × gravitational field strength\n

 \(p = hρg\)\n

pressure, p, in pascals, Pa
height of the column, h, in metres, m
density, ρ, in kilograms per metre cubed, kg/m3
gravitational field strength, g, in newtons per kilogram, N/kg (In any calculation the value of the gravitational field strength (g) will be
given.)\n


Students should be able to explain why, in a liquid, pressure at a point increases with the height of the column of liquid above that
point and with the density of the liquid.\n

Students should be able to calculate the differences in pressure at different depths in a liquid. A partially (or totally) submerged object experiences a greater
pressure on the bottom surface than on the top surface. This creates a resultant force upwards. This force is called the upthrust.\n

Students should be able to describe the factors which influence floating and sinking.",https://www.youtube.com/watch?v=IeYZadrSgx4,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-5-pressure--pressure-differences-in-fluids/5-5-4-upthrust/,,,5,5,2,TRUE,TRUE
Atmospheric pressure,"The atmosphere is a thin layer (relative to the size of the Earth) of air round the Earth. The atmosphere gets less dense with increasing altitude.\n

Air molecules colliding with a surface create atmospheric pressure. The number of air molecules (and so the weight of air) above a surface decreases as the height of the surface above ground level increases. So as height increases there is always less air above a surface than there is at a lower height. So atmospheric pressure decreases with an increase in height.\n

Students should be able to:\n

• describe a simple model of the Earth’s atmosphere and of atmospheric pressure
• explain why atmospheric pressure varies with height above a surface.",https://www.youtube.com/watch?v=s8C2RktZtbM,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-5-pressure--pressure-differences-in-fluids/5-5-2-atmospheric-pressure/,,,5,5,3,FALSE,TRUE
Motion in a line: distance & displacement ,"Distance is how far an object moves. Distance does not involve direction. Distance is a scalar quantity. Displacement includes both the distance an object moves, measured in a straight line from the start point to the finish point and the direction of that straight line. Displacement is a vector quantity. Students should be able to express a displacement in terms of both the magnitude and direction.\n

",https://www.youtube.com/watch?v=QaU9jMHh7gE,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-1-distance--displacement/,,,5,6,1,FALSE,FALSE
Motion in a line: speed,"Speed does not involve direction. Speed is a scalar quantity. The speed of a moving object is rarely constant. When people walk, run or travel in a car their speed is constantly changing. The speed at which a person can walk, run or cycle depends on many factors including: age, terrain, fitness and distance travelled.\n

Typical values may be taken as: walking ̴ 1.5 m/s running ̴ 3 m/s cycling ̴ 6 m/s. Students should be able to recall typical values of speed for a person walking, running and cycling as well as the typical values of speed for different types of transportation systems.\n

 It is not only moving objects that have varying speed. The speed of sound and the speed of the wind also vary. A typical value for the speed of sound in air is 330 m/s.\n

Students should be able to make measurements of distance and time and then calculate speeds of objects.\n

For an object moving at constant speed the distance travelled in a specific time can be calculated using the equation:\n

distance travelled = speed × time\n

\(s = vt\)\n

distance, s, in metres, m
speed, v, in metres per second, m/s
time, t, in seconds, s\n

Students should be able to calculate average speed for non-uniform motion.",https://www.youtube.com/watch?v=M_0FRIX8wIM,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-2-speed/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-3-measuring-speed/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-4-calculating-speed/,5,6,2,FALSE,FALSE
Velocity ,"The velocity of an object is its speed in a given direction. Velocity is a vector quantity. Students should be able to explain the vector–scalar distinction as it applies to displacement, distance, velocity and speed.",https://www.youtube.com/watch?v=09aDQcci_tQ,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-5-velocity/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-6-vector--scalar-quantities/,,5,6,3,FALSE,FALSE
Velocity part 2 (same as above),"Students should be able to explain qualitatively, with examples, that motion in a circle involves constant speed but changing velocity.",https://www.youtube.com/watch?v=09aDQcci_tQ,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-7-circular-motion/,,,5,6,3H,TRUE,FALSE
Distance-time relationship ,"If an object moves along a straight line, the distance travelled can be represented by a distance–time graph. The speed of an object can be calculated from the gradient of its distance–time graph. ",https://www.youtube.com/watch?v=DkCw2C-DkT0,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-8-distance-time-graphs/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-9-instantaneous-speed/,,5,6,4,FALSE,FALSE
Distance-time relationship part 2 (same as above),"f an object is accelerating, its speed at any particular time can be determined by drawing a tangent and measuring the gradient of the distance–time graph at that time.\n

Students should be able to draw distance–time graphs from measurements and extract and interpret lines and slopes of distance–time graphs, translating information between graphical and numerical form.\n

Students should be able to determine speed from a distance–time graph.\n",https://www.youtube.com/watch?v=DkCw2C-DkT0,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-10-acceleration/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-11-velocity-time-graphs/,,5,6,4H,TRUE,FALSE
Acceleration ,"The average acceleration of an object can be calculated using the equation:\n
acceleration = change in velocity/time taken\n

a  =∆v/t\n

acceleration, a, in metres per second squared, m/s2
change in velocity, ∆v, in metres per second, m/s
time, t, in seconds, s\n

An object that slows down is decelerating. Students should be able to estimate the magnitude of everyday
accelerations.\n

The acceleration of an object can be calculated from the gradient of a velocity–time graph.\n

Students should be able to:\n

• draw velocity–time graphs from measurements and interpret lines and slopes to determine acceleration. 

The following equation applies to uniform acceleration: (final velocity)2 − (initial velocity) 2
= 2 × acceleration × distance\n

(v)2 − (u)2 = 2as\n

final velocity, v, in metres per second, m/s
initial velocity, u, in metres per second, m/s
acceleration, a, in metres per second squared, m/s2
distance, s, in metres, m\n

Near the Earth’s surface any object falling freely under gravity has an acceleration of about 9.8 m/s2. \nAn object falling through a fluid initially accelerates due to the force of gravity. Eventually the resultant force will be zero and the object will move at its terminal velocity.


.",https://www.youtube.com/watch?v=r5iXzDCRMsE,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-12-area-under-velocity-time-graphs/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-13-calculating-uniform-acceleration/,,5,6,5,FALSE,FALSE
Acceleration part 2,"The distance travelled by an object (or displacement of an object) can be calculated from the area under a velocity–time
graph.\n

Students should be able to:\n

• interpret enclosed areas in velocity–time graphs to determine distance travelled (or displacement)
• measure, when appropriate, the area under a velocity–time graph by counting squares.
• draw and interpret velocity–time graphs for objects that reach terminal velocity
• interpret the changing motion in terms of the forces acting.


",https://www.youtube.com/watch?v=qpqWzTwnwUk,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-14-terminal-velocity/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-6-describing-motion/5-6-15-representing-terminal-velocity/,,5,6,5H,TRUE,TRUE
Newton's first law ,"Newton’s First Law: If the resultant force acting on an object is zero and:\n

• the object is stationary, the object remains stationary 
• the object is moving, the object continues to move at the same speed and in the same direction. So the object continues to move at the same velocity. So, when a vehicle travels at a steady speed the resistive forces balance the driving force.\n

 So, the velocity (speed and/or direction) of an object will only change if a resultant force is acting on the object. Students should be able to apply Newton’s First Law to explain the motion of objects moving with a uniform velocity and objects where the speed and/or direction changes. ",https://www.youtube.com/watch?v=_W3VbonFNcw,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-7-newtons-laws-of-motion/5-7-1-newtons-first-law/,,,5,7,1,FALSE,FALSE
Newton's first law - part 2 (same as above),The tendency of objects to continue in their state of rest or of uniform motion is called inertia.,https://www.youtube.com/watch?v=_W3VbonFNcw,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-7-newtons-laws-of-motion/5-7-5-inertia/,,,5,7,1H,TRUE,FALSE
Newton's Second Law,"The acceleration of an object is proportional to the resultant force acting on the object, and inversely proportional to the mass of the object. As an equation:\n

resultant force = mass × acceleration
\(F = ma\)\n

force, F, in newtons, N
mass, m, in kilograms, kg
acceleration, a, in metres per second squared, m/s2\n

Students should be able to estimate the speed, accelerations and forces involved in large accelerations for everyday road transport.\n

Students should recognise and be able to use the symbol that indicates an approximate value or approximate answer, ̴",https://www.youtube.com/watch?v=SqdCCxv9YzI,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-7-newtons-laws-of-motion/5-7-2-newtons-second-law/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-7-newtons-laws-of-motion/5-7-3-required-practical-investigating-force--acceleration/,,5,7,2,FALSE,FALSE
Newton's Second Law part 2 (same as above),"Students should be able to explain that:\n

• inertial mass is a measure of how difficult it is to change the velocity of an object 
• inertial mass is defined as the ratio of force over acceleration.",https://www.youtube.com/watch?v=SqdCCxv9YzI,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-7-newtons-laws-of-motion/5-7-4-newtons-third-law/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-7-newtons-laws-of-motion/5-7-5-inertia/,,5,7,2H,TRUE,FALSE
Newton's Third Law,"Whenever two objects interact, the forces they exert on each other are equal and opposite. Students should be able to apply Newton’s Third Law to examples of equilibrium situations.",https://www.youtube.com/watch?v=wANmggaC9pY,https://www.youtube.com/watch?v=DpQ_ikFKru0,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-7-newtons-laws-of-motion/5-7-4-newtons-third-law/,,,5,7,3,FALSE,FALSE
Forces & braking: stopping distance,"The stopping distance of a vehicle is the sum of the distance the vehicle travels during the driver’s reaction time (thinking distance) and the distance it travels under the braking force (braking distance). \nFor a given braking force the greater the speed of the vehicle, the greater the stopping distance.",https://www.youtube.com/watch?v=ZLHgYgEAPhY,https://www.youtube.com/watch?v=drMKdcMq3o0,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-8-stopping-distances/5-8-1-thinking--braking-distances/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-8-stopping-distances/5-8-2-stopping-distance/,,5,7,4,FALSE,FALSE
Stopping distance part 2 (same as above),"Students should be able to estimate how the distance for a vehicle to make an emergency stop varies over a range of speeds typical for that vehicle.\n

Students will be required to interpret graphs relating speed to stopping distance for a range of vehicles.",https://www.youtube.com/watch?v=drMKdcMq3o0,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-8-stopping-distances/5-8-6-estimating-decelerating-forces/,,,5,7,4H,FALSE,TRUE
Forces & braking: reaction time,"Reaction times vary from person to person. Typical values range from 0.2 s to 0.9 s. A driver’s reaction time can be affected by tiredness, drugs and alcohol. Distractions may also affect a driver’s ability to react. \n

Students should be able to:\n
• explain methods used to measure human reaction times and recall typical results
• interpret and evaluate measurements from simple methods to measure the different reaction times of students
• evaluate the effect of various factors on thinking distance based on given data.",https://www.youtube.com/watch?v=AiXhR2eZxgo,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-8-stopping-distances/5-8-3-reaction-time/,,,5,7,5,FALSE,FALSE
Factors affecting braking distance ,"The braking distance of a vehicle can be affected by adverse road and weather conditions and poor condition of the vehicle. Adverse road conditions include wet or icy conditions. Poor condition of the vehicle is limited to the vehicle's brakes or tyres.\n

Students should be able to:\n
• explain the factors which affect the distance required for road transport vehicles to come to rest in emergencies, and the implications for safety
• estimate how the distance required for road vehicles to stop in an emergency varies over a range of typical speeds.",https://www.youtube.com/watch?v=AiXhR2eZxgo,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-8-stopping-distances/5-8-4-factors-affecting-thinking-distance--reaction-time/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/5-forces/5-8-stopping-distances/5-8-5-factors-affecting-braking-distance/,,5,7,6,FALSE,FALSE
